annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
2020-2021,12,99,Total provincial,Total provincial,Total provincial,,2461296,382807,168323,8.1466066061,2131594,1.8334582657,1571735,123135,66924,3.7782696247,1248383,2.1660075629,889561,180118,45005,15.864872273,883211,1.3634132941,259672,101399
2021-2022,12,99,Total provincial,Total provincial,Total provincial,,3009560,448859,186877,8.5151212218,2477039,2.4210878021,2018561,157098,78072,4.4834670069,1494336,2.8737830899,990999,217455,58119,16.727177908,982703,1.732701926,291761,108805
2022-2023,12,99,Total provincial,Total provincial,Total provincial,,3286327,488064,188267,9.0681854911,2623672,2.7831699112,2255362,175625,77125,4.9011240157,1603094,3.3093113198,1030965,252194,77349,18.184142001,1020578,1.9567224126,312439,111142
2023-2024,12,99,Total provincial,Total provincial,Total provincial,,3265327,523864,190162,9.0649085811,2642611,2.8225566428,2193779,193446,76186,4.9376109406,1582356,3.3389318359,1071548,253105,69134,17.51472034,1060255,2.0519029935,330418,113976
2024-2025,12,99,Total provincial,Total provincial,Total provincial,,3478527,567790,199487,9.0279826614,2793422,2.9955987788,2339883,210990,78792,5.0751698963,1667458,3.5509628124,1138644,260907,65661,17.15090729,1125964,2.1731513466,356800,120695
2020-2021,12,08,Abitibi-Témiscamingue,Total régional,Total régional,,82084,9574,5304,5.1444246713,70815,2.0068605443,66013,5208,3989,3.7560773467,54796,2.2142666486,16071,1557,177,10.847179443,16019,1.297388986,4366,1315
2020-2021,12,01,Bas-Saint-Laurent,Total régional,Total régional,,92960,16104,4298,3.916289318,82041,1.2825207349,66697,7094,2601,2.5401139815,56032,1.4217234695,26263,352,2,7.4111972272,26009,0.9826319415,9010,1697
2020-2021,12,03,Capitale-Nationale,Total régional,Total régional,,267870,44163,17439,7.4504992627,233595,1.4290157347,167461,14560,5598,3.2194117851,133485,1.7604268873,100409,17408,3720,14.507059333,100110,0.9871176456,29603,11841
2020-2021,12,12,Chaudière-Appalaches,Total régional,Total régional,,133684,22723,7042,5.7158129391,117228,0.9029250904,91413,7958,3253,2.4341558884,74990,1.0730513587,42271,5447,441,12.812548667,42238,0.6008802763,14765,3789
2020-2021,12,09,Côte-Nord,Total régional,Total régional,,70773,8148,4019,6.1563324251,57290,1.9048874779,54745,4207,2429,3.1869814138,42252,1.9600682413,16028,2856,1423,16.29840387,15038,1.7498470726,3941,1590
